,,,,,,,0
0.01,0,6,0,1.0,400,0.7,0.6481853732703626
0.01,0,6,0,1.0,400,1.0,0.6480283262458257
0.01,0,6,5,0.5,100,0.7,0.6511358622685144
0.01,0,6,5,0.5,100,1.0,0.6586058033228697
0.01,0,6,5,0.5,200,0.7,0.6494176075928257
0.01,0,6,5,0.5,200,1.0,0.6527551294265901
0.01,0,6,5,0.5,400,0.7,0.6578273994922337
0.01,0,6,5,0.5,400,1.0,0.6469044555303106
0.01,0,6,5,1.0,100,0.7,0.6513741241714551
0.01,0,6,5,1.0,100,1.0,0.658874455319225
0.01,0,6,5,1.0,200,0.7,0.656035109235466
0.01,0,6,5,1.0,200,1.0,0.6587456570207022
0.01,0,6,5,1.0,400,0.7,0.6499096454154368
0.01,0,6,5,1.0,400,1.0,0.6555613061094897
0.01,0,6,20,0.5,100,0.7,0.6546237138869165
0.01,0,6,20,0.5,100,1.0,0.6556365003155783
0.01,0,6,20,0.5,200,0.7,0.652151428004621
0.01,0,6,20,0.5,200,1.0,0.6559267456285179
0.01,0,6,20,0.5,400,0.7,0.6553888623233024
0.01,0,6,20,0.5,400,1.0,0.6554949673077709
0.01,0,6,20,1.0,100,0.7,0.6488985382967497
0.01,0,6,20,1.0,100,1.0,0.6610952239043297
0.01,0,6,20,1.0,200,0.7,0.6593339030534814
0.01,0,6,20,1.0,200,1.0,0.6598668070563121
0.01,0,6,20,1.0,400,0.7,0.6553822037109429
0.01,0,6,20,1.0,400,1.0,0.6568560585562964
0.01,0,10,0,0.5,100,0.7,0.6488803068030448
0.01,0,10,0,0.5,100,1.0,0.6493761621001013
0.01,0,10,0,0.5,200,0.7,0.6470465092230833
0.01,0,10,0,0.5,200,1.0,0.6541195206675255
0.01,0,10,0,0.5,400,0.7,0.6516782041911495
0.01,0,10,0,0.5,400,1.0,0.6493739621051612
0.01,0,10,0,1.0,100,0.7,0.6451265206652628
0.01,0,10,0,1.0,100,1.0,0.6440816648332115
0.01,0,10,0,1.0,200,0.7,0.6516240207862106
0.01,0,10,0,1.0,200,1.0,0.64499882236421
0.01,0,10,0,1.0,400,0.7,0.6544672461748844
0.01,0,10,0,1.0,400,1.0,0.6501252758347925
0.01,0,10,5,0.5,100,0.7,0.6482334773754467
0.01,0,10,5,0.5,100,1.0,0.655049933592774
0.01,0,10,5,0.5,200,0.7,0.6528640137185033
0.01,0,10,5,0.5,200,1.0,0.6526296311204773
0.01,0,10,5,0.5,400,0.7,0.6482185426712219
0.01,0,10,5,0.5,400,1.0,0.6478531031521937
0.01,0,10,5,1.0,100,0.7,0.6420333986618335
0.01,0,10,5,1.0,100,1.0,0.6483539995821043
0.01,0,10,5,1.0,200,0.7,0.6590491577278917
0.01,0,10,5,1.0,200,1.0,0.6494878843269988
0.01,0,10,5,1.0,400,0.7,0.6544528907831645
0.01,0,10,5,1.0,400,1.0,0.6476856386683912
0.01,0,10,20,0.5,100,0.7,0.6526777352255614
0.01,0,10,20,0.5,100,1.0,0.6577289912871256
0.01,0,10,20,0.5,200,0.7,0.653433445742143
0.01,0,10,20,0.5,200,1.0,0.6549675600893605
0.01,0,10,20,0.5,400,0.7,0.6515505058900968
0.01,0,10,20,0.5,400,1.0,0.6496901975216355
0.01,0,10,20,1.0,100,0.7,0.6556055309096589
0.01,0,10,20,1.0,100,1.0,0.6552539260973854
0.01,0,10,20,1.0,200,0.7,0.6521939734948156
0.01,0,10,20,1.0,200,1.0,0.6505006707556606
0.01,0,10,20,1.0,400,0.7,0.6488863828999698
0.01,0,10,20,1.0,400,1.0,0.6578904383015425
0.01,1,3,0,0.5,100,0.7,0.6470536853174783
0.01,1,3,0,0.5,100,1.0,0.6568383445446269
0.01,1,3,0,0.5,200,0.7,0.6509722152591575
0.01,1,3,0,0.5,200,1.0,0.6514935431777131
0.01,1,3,0,0.5,400,0.7,0.6551450418054721
0.01,1,3,0,0.5,400,1.0,0.6545253056818083
0.01,1,3,0,1.0,100,0.7,0.6479957361574711
0.01,1,3,0,1.0,100,1.0,0.6548370824808629
0.01,1,3,0,1.0,200,0.7,0.6531448797391781
0.01,1,3,0,1.0,200,1.0,0.6528407997194838
0.01,1,3,0,1.0,400,0.7,0.6574746946824901
0.01,1,3,0,1.0,400,1.0,0.6532084392334522
0.01,1,3,5,0.5,100,0.7,0.6474655496316158
0.01,1,3,5,0.5,100,1.0,0.657613969067818
0.01,1,3,5,0.5,200,0.7,0.6529541426288167
0.01,1,3,5,0.5,200,1.0,0.6501634213351071
0.01,1,3,5,0.5,400,0.7,0.6547652468947239
0.01,1,3,5,0.5,400,1.0,0.6536684076526738
0.01,1,3,5,1.0,100,0.7,0.6495176951079087
0.01,1,3,5,1.0,100,1.0,0.6545518164703081
0.01,1,3,5,1.0,200,0.7,0.654430776781615
0.01,1,3,5,1.0,200,1.0,0.6538242960522012
0.01,1,3,5,1.0,400,0.7,0.6574907293841848
0.01,1,3,5,1.0,400,1.0,0.6540653372625866
0.01,1,3,20,0.5,100,0.7,0.6468004887103128
0.01,1,3,20,0.5,100,1.0,0.6577886714764848
0.01,1,3,20,0.5,200,0.7,0.6518611826916814
0.01,1,3,20,0.5,200,1.0,0.6531951838392023
