,,,,,0
50,100,10,,100,"[0.6418533991644512, 0.6598360655737705, 0.6658097686375322]"
50,100,10,,1000,"[0.6475503228256742, 0.6615925058548009, 0.6580976863753213]"
50,100,10,,,"[0.6403342195214584, 0.6610070257611241, 0.6580976863753213]"
50,100,100,sqrt,100,"[0.6456513482719332, 0.6557377049180327, 0.6632390745501285]"
50,100,100,sqrt,1000,"[0.6467907330041778, 0.6557377049180327, 0.6555269922879178]"
50,100,100,sqrt,,"[0.6445119635396885, 0.6522248243559718, 0.6529562982005142]"
50,100,100,,100,"[0.6464109380934295, 0.6592505854800936, 0.6683804627249358]"
50,100,100,,1000,"[0.6494492973794151, 0.6533957845433255, 0.6580976863753213]"
50,100,100,,,"[0.6429927838966958, 0.6651053864168618, 0.6632390745501285]"
100,2,1,sqrt,100,"[0.6437523737181922, 0.6586651053864169, 0.6786632390745502]"
100,2,1,sqrt,1000,"[0.6437523737181922, 0.6557377049180327, 0.6580976863753213]"
100,2,1,sqrt,,"[0.6247626281807824, 0.6545667447306791, 0.6478149100257069]"
100,2,1,,100,"[0.6441321686289404, 0.6563231850117096, 0.6683804627249358]"
100,2,1,,1000,"[0.6289403721990126, 0.6487119437939111, 0.6555269922879178]"
100,2,1,,,"[0.6148879605013293, 0.6434426229508197, 0.6503856041131105]"
100,2,10,sqrt,100,"[0.6464109380934295, 0.6615925058548009, 0.6632390745501285]"
100,2,10,sqrt,1000,"[0.643372578807444, 0.6557377049180327, 0.6580976863753213]"
100,2,10,sqrt,,"[0.6448917584504368, 0.6563231850117096, 0.6503856041131105]"
100,2,10,,100,"[0.6429927838966958, 0.6586651053864169, 0.6709511568123393]"
100,2,10,,1000,"[0.6388150398784657, 0.655152224824356, 0.6452442159383034]"
100,2,10,,,"[0.6448917584504368, 0.6615925058548009, 0.6683804627249358]"
100,2,100,sqrt,100,"[0.6452715533611849, 0.6510538641686182, 0.6658097686375322]"
100,2,100,sqrt,1000,"[0.6490695024686669, 0.6592505854800936, 0.6683804627249358]"
100,2,100,sqrt,,"[0.6483099126471705, 0.6610070257611241, 0.6760925449871465]"
100,2,100,,100,"[0.6475503228256742, 0.6621779859484778, 0.6735218508997429]"
100,2,100,,1000,"[0.6498290922901633, 0.6610070257611241, 0.6658097686375322]"
100,2,100,,,"[0.6437523737181922, 0.6592505854800936, 0.6503856041131105]"
100,10,1,sqrt,100,"[0.641473604253703, 0.6610070257611241, 0.6658097686375322]"
100,10,1,sqrt,1000,"[0.637675655146221, 0.6563231850117096, 0.6503856041131105]"
100,10,1,sqrt,,"[0.6350170907709837, 0.6457845433255269, 0.6889460154241646]"
100,10,1,,100,"[0.6483099126471705, 0.6557377049180327, 0.6555269922879178]"
100,10,1,,1000,"[0.6133687808583365, 0.6516393442622951, 0.6503856041131105]"
100,10,1,,,"[0.6251424230915306, 0.6545667447306791, 0.6375321336760925]"
100,10,10,sqrt,100,"[0.6422331940751994, 0.65807962529274, 0.6606683804627249]"
100,10,10,sqrt,1000,"[0.6460311431826814, 0.6574941451990632, 0.6555269922879178]"
100,10,10,sqrt,,"[0.6448917584504368, 0.6569086651053864, 0.6760925449871465]"
100,10,10,,100,"[0.6456513482719332, 0.6639344262295082, 0.6683804627249358]"
100,10,10,,1000,"[0.6422331940751994, 0.664519906323185, 0.6529562982005142]"
100,10,10,,,"[0.639574629699962, 0.6475409836065574, 0.6658097686375322]"
