,,,,,,,0
0.01,0,3,5,1.0,400,1.0,"[0.6494492973794151, 0.6623876765083441, 0.6529562982005142]"
0.01,0,3,20,0.5,100,0.7,"[0.655146221040638, 0.6576807873341891, 0.6632390745501285]"
0.01,0,3,20,0.5,100,1.0,"[0.6528674515761489, 0.6568249893025246, 0.6632390745501285]"
0.01,0,3,20,0.5,200,0.7,"[0.6540068363083935, 0.6615318784766795, 0.6632390745501285]"
0.01,0,3,20,0.5,200,1.0,"[0.6513482719331561, 0.6611039794608472, 0.6709511568123393]"
0.01,0,3,20,0.5,400,0.7,"[0.6547664261298899, 0.6576807873341891, 0.6658097686375322]"
0.01,0,3,20,0.5,400,1.0,"[0.6521078617546525, 0.660676080445015, 0.6580976863753213]"
0.01,0,3,20,1.0,100,0.7,"[0.6566654006836309, 0.6585365853658537, 0.6606683804627249]"
0.01,0,3,20,1.0,100,1.0,"[0.6566654006836309, 0.6585365853658537, 0.6683804627249358]"
0.01,0,3,20,1.0,200,0.7,"[0.6498290922901633, 0.6615318784766795, 0.6606683804627249]"
0.01,0,3,20,1.0,200,1.0,"[0.6486897075579188, 0.6636713735558408, 0.6580976863753213]"
0.01,0,3,20,1.0,400,0.7,"[0.6513482719331561, 0.6658108686350022, 0.6632390745501285]"
0.01,0,3,20,1.0,400,1.0,"[0.6502088872009115, 0.6662387676508345, 0.6580976863753213]"
0.01,0,6,0,0.5,100,0.7,"[0.6498290922901633, 0.6491228070175439, 0.6478149100257069]"
0.01,0,6,0,0.5,100,1.0,"[0.6479301177364223, 0.6559691912708601, 0.6401028277634961]"
0.01,0,6,0,0.5,200,0.7,"[0.6536270413976453, 0.6521181001283697, 0.6555269922879178]"
0.01,0,6,0,0.5,200,1.0,"[0.6540068363083935, 0.6598202824133504, 0.6683804627249358]"
0.01,0,6,0,0.5,400,0.7,"[0.6502088872009115, 0.6623876765083441, 0.6683804627249358]"
0.01,0,6,0,0.5,400,1.0,"[0.6509684770224079, 0.6640992725716731, 0.6760925449871465]"
0.01,0,6,0,1.0,100,0.7,"[0.643372578807444, 0.652545999144202, 0.6529562982005142]"
0.01,0,6,0,1.0,100,1.0,"[0.6422331940751994, 0.6469833119383825, 0.6683804627249358]"
0.01,0,6,0,1.0,200,0.7,"[0.6486897075579188, 0.6559691912708601, 0.6529562982005142]"
0.01,0,6,0,1.0,200,1.0,"[0.6452715533611849, 0.646127513906718, 0.6529562982005142]"
0.01,0,6,0,1.0,400,0.7,"[0.643372578807444, 0.6628155755241762, 0.6529562982005142]"
0.01,0,6,0,1.0,400,1.0,"[0.639574629699962, 0.6465554129225503, 0.6606683804627249]"
0.01,0,6,5,0.5,100,0.7,"[0.6517280668439043, 0.6529738981600343, 0.6529562982005142]"
0.01,0,6,5,0.5,100,1.0,"[0.6475503228256742, 0.6491228070175439, 0.6452442159383034]"
0.01,0,6,5,0.5,200,0.7,"[0.6517280668439043, 0.6534017971758665, 0.6555269922879178]"
0.01,0,6,5,0.5,200,1.0,"[0.6513482719331561, 0.6602481814291827, 0.6529562982005142]"
0.01,0,6,5,0.5,400,0.7,"[0.6445119635396885, 0.6559691912708601, 0.6632390745501285]"
0.01,0,6,5,0.5,400,1.0,"[0.6505886821116597, 0.6623876765083441, 0.6580976863753213]"
0.01,0,6,5,1.0,100,0.7,"[0.6502088872009115, 0.6521181001283697, 0.6503856041131105]"
0.01,0,6,5,1.0,100,1.0,"[0.6448917584504368, 0.6521181001283697, 0.6658097686375322]"
0.01,0,6,5,1.0,200,0.7,"[0.6464109380934295, 0.6572528883183568, 0.6426735218508998]"
0.01,0,6,5,1.0,200,1.0,"[0.639574629699962, 0.6572528883183568, 0.6478149100257069]"
0.01,0,6,5,1.0,400,0.7,"[0.6464109380934295, 0.6572528883183568, 0.6580976863753213]"
0.01,0,6,5,1.0,400,1.0,"[0.6403342195214584, 0.6521181001283697, 0.6529562982005142]"
