,,,,,,,0
0.01,0,3,5,1.0,100,0.7,"[0.6486897075579188, 0.6478391099700471, 0.6503856041131105]"
0.01,0,3,5,1.0,100,1.0,"[0.6505886821116597, 0.6568249893025246, 0.6555269922879178]"
0.01,0,3,5,1.0,200,0.7,"[0.6426129889859475, 0.6486949080017116, 0.6452442159383034]"
0.01,0,3,5,1.0,200,1.0,"[0.6410938093429548, 0.6456996148908858, 0.6426735218508998]"
0.01,0,3,5,1.0,400,0.7,"[0.639574629699962, 0.6469833119383825, 0.6503856041131105]"
0.01,0,3,5,1.0,400,1.0,"[0.6380554500569693, 0.6469833119383825, 0.6529562982005142]"
0.01,0,3,20,0.5,100,0.7,"[0.6448917584504368, 0.6546854942233633, 0.6555269922879178]"
0.01,0,3,20,0.5,100,1.0,"[0.6464109380934295, 0.6598202824133504, 0.6555269922879178]"
0.01,0,3,20,0.5,200,0.7,"[0.6483099126471705, 0.6495507060333762, 0.6478149100257069]"
0.01,0,3,20,0.5,200,1.0,"[0.6445119635396885, 0.6499786050492083, 0.6606683804627249]"
0.01,0,3,20,0.5,400,0.7,"[0.6464109380934295, 0.654257595207531, 0.6555269922879178]"
0.01,0,3,20,0.5,400,1.0,"[0.6437523737181922, 0.6538296961916987, 0.6529562982005142]"
0.01,0,3,20,1.0,100,0.7,"[0.6498290922901633, 0.6478391099700471, 0.6503856041131105]"
0.01,0,3,20,1.0,100,1.0,"[0.6513482719331561, 0.6538296961916987, 0.6555269922879178]"
0.01,0,3,20,1.0,200,0.7,"[0.643372578807444, 0.6486949080017116, 0.6478149100257069]"
0.01,0,3,20,1.0,200,1.0,"[0.6426129889859475, 0.6478391099700471, 0.6478149100257069]"
0.01,0,3,20,1.0,400,0.7,"[0.6418533991644512, 0.6474112109542148, 0.6606683804627249]"
0.01,0,3,20,1.0,400,1.0,"[0.6399544246107102, 0.6491228070175439, 0.6555269922879178]"
0.01,0,6,0,0.5,100,0.7,"[0.6372958602354728, 0.6559691912708601, 0.6478149100257069]"
0.01,0,6,0,0.5,100,1.0,"[0.6471705279149259, 0.660676080445015, 0.6632390745501285]"
0.01,0,6,0,0.5,200,0.7,"[0.6441321686289404, 0.652545999144202, 0.6683804627249358]"
0.01,0,6,0,0.5,200,1.0,"[0.6448917584504368, 0.6534017971758665, 0.6735218508997429]"
0.01,0,6,0,0.5,400,0.7,"[0.6380554500569693, 0.6555412922550278, 0.6812339331619537]"
0.01,0,6,0,0.5,400,1.0,"[0.6422331940751994, 0.6529738981600343, 0.6606683804627249]"
0.01,0,6,0,1.0,100,0.7,"[0.6380554500569693, 0.6499786050492083, 0.6580976863753213]"
0.01,0,6,0,1.0,100,1.0,"[0.6429927838966958, 0.6495507060333762, 0.6478149100257069]"
0.01,0,6,0,1.0,200,0.7,"[0.6479301177364223, 0.6546854942233633, 0.6503856041131105]"
0.01,0,6,0,1.0,200,1.0,"[0.653247246486897, 0.6508344030808729, 0.6606683804627249]"
0.01,0,6,0,1.0,400,0.7,"[0.6403342195214584, 0.6504065040650406, 0.6606683804627249]"
0.01,0,6,0,1.0,400,1.0,"[0.6391948347892138, 0.6495507060333762, 0.6606683804627249]"
0.01,0,6,5,0.5,100,0.7,"[0.633877706038739, 0.6495507060333762, 0.6503856041131105]"
0.01,0,6,5,0.5,100,1.0,"[0.6418533991644512, 0.6538296961916987, 0.6529562982005142]"
